token,total_freq,doc_freq,doc_freq_pct
COMPONENT,8514,2076,0.6186
DATA,4254,1169,0.3483
CONNECTOR,2316,1065,0.3173
support,1434,848,0.2527
application,1369,570,0.1698
job,1231,441,0.1314
resource,1108,434,0.1293
task,1086,378,0.1126
index,1085,390,0.1162
run,1082,580,0.1728
field,1005,321,0.0956
time,975,589,0.1755
SOLUTION,969,460,0.1371
data,934,437,0.1302
query,890,298,0.0888
api,848,445,0.1326
document,820,330,0.0983
create,816,515,0.1535
cluster,804,408,0.1216
allow,788,564,0.1681
value,781,319,0.0951
QUALITY,769,466,0.1389
base,730,485,0.1445
provide,726,511,0.1523
implementation,716,452,0.1347
map,704,299,0.0891
currently,697,624,0.1859
work,688,490,0.146
memory,688,301,0.0897
term,684,235,0.07
store,628,335,0.0998
implement,604,440,0.1311
segment,563,183,0.0545
type,559,250,0.0745
reduce,545,280,0.0834
java,540,191,0.0569
number,538,342,0.1019
search,533,226,0.0673
per,530,331,0.0986
way,520,406,0.121
list,511,278,0.0828
different,507,347,0.1034
current,497,394,0.1174
name,489,209,0.0623
app,484,219,0.0653
think,477,347,0.1034
example,460,353,0.1052
start,458,291,0.0867
good,453,390,0.1162
configuration,453,238,0.0709
large,437,292,0.087
doc,437,219,0.0653
read,436,236,0.0703
process,425,235,0.07
want,424,332,0.0989
instead,421,345,0.1028
require,420,324,0.0965
multiple,416,307,0.0915
take,415,307,0.0915
level,410,240,0.0715
jira,406,358,0.1067
single,401,298,0.0888
directory,400,178,0.053
sort,390,167,0.0498
default,384,246,0.0733
filter,383,145,0.0432
interface,382,226,0.0673
etc,382,304,0.0906
patch,382,237,0.0706
token,381,112,0.0334
merge,379,186,0.0554
state,378,182,0.0542
first,371,288,0.0858
capacity,370,161,0.048
key,368,158,0.0471
propose,362,316,0.0942
many,361,278,0.0828
since,360,296,0.0882
information,356,241,0.0718
order,356,224,0.0667
improve,354,283,0.0843
well,353,301,0.0897
enable,351,258,0.0769
parser,351,122,0.0364
give,350,276,0.0822
exist,342,290,0.0864
byte,342,145,0.0432
instance,341,196,0.0584
block,339,144,0.0429
return,338,214,0.0638
handle,337,261,0.0778
long,333,224,0.0667
feature,330,233,0.0694
problem,329,248,0.0739
output,327,151,0.045
version,323,173,0.0515
size,320,181,0.0539
local,319,116,0.0346
nodemanager,318,109,0.0325
result,318,224,0.0667
point,316,190,0.0566
able,315,266,0.0793
policy,312,141,0.042
reader,304,125,0.0372
format,302,155,0.0462
even,298,262,0.0781
load,297,167,0.0498
possible,295,260,0.0775
move,295,214,0.0638
label,291,73,0.0218
schedule,290,168,0.0501
access,288,186,0.0554
info,288,88,0.0262
share,285,146,0.0435
without,284,246,0.0733
however,283,255,0.076
check,280,182,0.0542
include,280,236,0.0703
string,279,116,0.0346
event,276,106,0.0316
attempt,271,130,0.0387
allocation,268,140,0.0417
common,264,189,0.0563
cpu,264,115,0.0343
available,263,206,0.0614
introduce,262,222,0.0662
part,262,218,0.065
metadata,262,98,0.0292
separate,261,197,0.0587
system,259,170,0.0507
try,259,205,0.0611
fail,259,157,0.0468
limit,258,158,0.0471
small,258,178,0.053
input,256,135,0.0402
track,255,218,0.065
disk,255,124,0.0369
open,255,149,0.0444
framework,254,152,0.0453
much,253,215,0.0641
