model,variable,test,topic_a,topic_b,statistic,p_value,p_adj_bonferroni,significant_p05
LDA,num_comments,Kruskal-Wallis (overall),all,all,18.7085,0.000314,-,True
LDA,num_comments,Mann-Whitney U (pairwise),0,1,-,0.300499,1.0,False
LDA,num_comments,Mann-Whitney U (pairwise),0,2,-,0.186774,1.0,False
LDA,num_comments,Mann-Whitney U (pairwise),0,3,-,0.001252,0.007512,True
LDA,num_comments,Mann-Whitney U (pairwise),1,2,-,0.023035,0.13821,False
LDA,num_comments,Mann-Whitney U (pairwise),1,3,-,2.4e-05,0.000143,True
LDA,num_comments,Mann-Whitney U (pairwise),2,3,-,0.068432,0.410592,False
LDA,num_human_comments,Kruskal-Wallis (overall),all,all,47.2912,0.0,-,True
LDA,num_human_comments,Mann-Whitney U (pairwise),0,1,-,0.0,1e-06,True
LDA,num_human_comments,Mann-Whitney U (pairwise),0,2,-,0.389081,1.0,False
LDA,num_human_comments,Mann-Whitney U (pairwise),0,3,-,0.030751,0.184508,False
LDA,num_human_comments,Mann-Whitney U (pairwise),1,2,-,0.000163,0.000978,True
LDA,num_human_comments,Mann-Whitney U (pairwise),1,3,-,0.0,0.0,True
LDA,num_human_comments,Mann-Whitney U (pairwise),2,3,-,0.006008,0.036051,True
LDA,num_attachments,Kruskal-Wallis (overall),all,all,33.0882,0.0,-,True
LDA,num_attachments,Mann-Whitney U (pairwise),0,1,-,0.004932,0.029591,True
LDA,num_attachments,Mann-Whitney U (pairwise),0,2,-,2e-06,1.4e-05,True
LDA,num_attachments,Mann-Whitney U (pairwise),0,3,-,1.2e-05,7.4e-05,True
LDA,num_attachments,Mann-Whitney U (pairwise),1,2,-,0.056709,0.340256,False
LDA,num_attachments,Mann-Whitney U (pairwise),1,3,-,0.082906,0.497437,False
LDA,num_attachments,Mann-Whitney U (pairwise),2,3,-,0.780983,1.0,False
LDA,desc_length,Kruskal-Wallis (overall),all,all,307.6364,0.0,-,True
LDA,desc_length,Mann-Whitney U (pairwise),0,1,-,0.0,0.0,True
LDA,desc_length,Mann-Whitney U (pairwise),0,2,-,0.0,0.0,True
LDA,desc_length,Mann-Whitney U (pairwise),0,3,-,0.0,0.0,True
LDA,desc_length,Mann-Whitney U (pairwise),1,2,-,0.0,0.0,True
LDA,desc_length,Mann-Whitney U (pairwise),1,3,-,0.0,0.0,True
LDA,desc_length,Mann-Whitney U (pairwise),2,3,-,0.700822,1.0,False
BERTopic,num_comments,Kruskal-Wallis (overall),all,all,219.4818,0.0,-,True
BERTopic,num_comments,Mann-Whitney U (pairwise),0,1,-,0.565898,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,2,-,0.0,0.0,True
BERTopic,num_comments,Mann-Whitney U (pairwise),0,3,-,0.00041,0.216527,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,4,-,0.157381,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,5,-,0.0,0.0,True
BERTopic,num_comments,Mann-Whitney U (pairwise),0,6,-,0.899885,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,7,-,0.240105,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,8,-,0.334428,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,9,-,0.000327,0.172903,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,10,-,0.196964,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,11,-,0.0,1e-06,True
BERTopic,num_comments,Mann-Whitney U (pairwise),0,12,-,0.060762,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,13,-,0.0,0.000174,True
BERTopic,num_comments,Mann-Whitney U (pairwise),0,14,-,0.14514,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,15,-,0.997663,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,16,-,0.191588,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,17,-,0.150383,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,18,-,0.005783,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,19,-,0.243225,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,20,-,0.102775,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,21,-,0.444816,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,22,-,0.048749,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,23,-,0.724417,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,24,-,0.268247,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,25,-,0.180817,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,26,-,0.218089,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,27,-,0.55092,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,28,-,0.369707,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,29,-,0.087749,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,30,-,0.058902,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,31,-,0.055824,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),0,32,-,0.032103,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,2,-,0.0,4.8e-05,True
BERTopic,num_comments,Mann-Whitney U (pairwise),1,3,-,0.000906,0.478464,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,4,-,0.062433,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,5,-,0.0,4e-06,True
BERTopic,num_comments,Mann-Whitney U (pairwise),1,6,-,0.651164,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,7,-,0.415058,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,8,-,0.500632,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,9,-,0.006151,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),1,10,-,0.525132,1.0,False
